author,video_url,title,caption,create_time_unix,create_date_utc,shares,comments,likes,subs,views_per_sub,num_views,video_id,duration
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7573978385748069639,Lộ trình 9 ngày học AI hiệu quả | TikTok,Lộ trình học tập sử dụng AI trong vòng 9 ngày để làm quen và sử dụng thành thạo các công cụ trí tuệ nhân tạo #CapCut #bankerthichcode #ai9ngayyeu #BookTok #xahoi ,1763454269.0,2025-11-18,386.0,94.0,7457.0,573700,,529700,7573978385748069639,176.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7538098035327257864,Sống đời rủng rỉnh và thong dong: Hướng dẫn tài chính | TikTok,"Sống đời rủng rỉnh và thong dong, định hướng cho bạn 1 cuộc sống thong dong và an tâm tài chính bằng nhiều góc nhìn #bankerthichcode #giverbooks #taichinh #dautu #CapCut ",1755100222.0,2025-08-13,662.0,222.0,15000.0,573700,,1500000,7538098035327257864,137.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7554383805675506962,,,,,,,,573700,,1200000,7554383805675506962,
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7612643973269622037,Mỹ và Iran #bankerthichcode #chinhtri  #CapCut | TikTok,Mỹ và Iran #bankerthichcode #chinhtri  #CapCut ,1772456807.0,2026-03-02,407.0,432.0,13600.0,573700,,408100,7612643973269622037,162.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7611918335776656661,"Mỹ Israel đã xung đột với Iran, giá vàng và giá dầu sẽ tăng hay giảm #... | TikTok","Mỹ Israel đã xung đột với Iran, giá vàng và giá dầu sẽ tăng hay giảm #CapCut #bankerthichcode #gold #vang #chinhtri ",1772287850.0,2026-02-28,1270.0,314.0,16300.0,573700,,585900,7611918335776656661,193.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7610784575698013460,Vấn đề tại Mexico: Những Bất Cập Cần Khám Phá | TikTok,Vấn đề tại Mexico phần 1 #bankerthichcode #chinhtri  #CapCut ,1772023877.0,2026-02-25,190.0,95.0,7717.0,573700,,246700,7610784575698013460,139.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7610043759929068821,Lạm phát và Tình Hình Kinh Tế Thế Giới 2027 | TikTok,Kinh tế liệu có lạm phát quay trở lại? Nếu Mỹ xung đột quân sự tại trung đông thì giá Vàng và Dầu sẽ tăng #bankerthichcode #kinhte #chinhtri  #CapCut ,1771851395.0,2026-02-23,1009.0,224.0,17600.0,573700,,498900,7610043759929068821,178.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7609675604186696981,Banker Thích Code: Tô Lâm và Chính Trị Hôm Nay | TikTok,#CapCut #bankerthichcode ,1771765676.0,2026-02-22,1765.0,504.0,47200.0,573700,,903700,7609675604186696981,176.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7609193368551279892,"Mỹ và Iran sẽ có xung đột, sẽ ảnh hưởng tới giá dầu và giá vàng#banker... | TikTok","Mỹ và Iran sẽ có xung đột, sẽ ảnh hưởng tới giá dầu và giá vàng#bankerthichcode #chinhtri #kinhte #vang #CapCut ",1771653399.0,2026-02-21,1704.0,581.0,30300.0,573700,,1300000,7609193368551279892,155.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7605595963176062228,Đại học Fullbright: Nơi ươm mầm tài năng trẻ | TikTok,Đại học Fullbright #bankerthichcode #capcut ,1770815810.0,2026-02-11,638.0,355.0,17300.0,573700,,356600,7605595963176062228,97.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7603977490352065812,Bàn Về Nghị Định 46 Và Điểm Yếu Trong Quy Trình | TikTok,Nghị định 46 đã bộc lộ điểm yếu kém trong khâu tổ chức quy trình và hướng dẫn #bankerthichcode #chinhtri  #CapCut ,1770438981.0,2026-02-07,311.0,426.0,14200.0,573700,,331700,7603977490352065812,132.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7603348445637725461,The project 88 tung tin hồ sơ mật bộ quốc phòng Việt Nam bị lộ về việc... | TikTok,The project 88 tung tin hồ sơ mật bộ quốc phòng Việt Nam bị lộ về việc chuẩn bị cho Mỹ xâm lược Việt Nam lần 2 #bankerthichcode #Capcut #chinhtri #kinhte ,1770292518.0,2026-02-05,491.0,216.0,17300.0,573700,,437000,7603348445637725461,153.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7603012321505561877,Vua Gia Long: Cuộc Cướp Ngôi Lịch Sử Chủ Nghĩa | TikTok,Vua Gia Long - Nguyễn Ánh cướp ngôi Quang Trung #bankerthichcode #chinhtri #lichsu#lichsut ,1770214260.0,2026-02-04,196.0,218.0,9311.0,573700,,154100,7603012321505561877,144.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7602990668499160341,Sách về chính trị thế giới của Henry Kissinger | TikTok,Sách về chính trị thế giới - Henry Kissinger #bankerthichcode #Capcut #chinhtri ,1770209216.0,2026-02-04,30.0,19.0,1620.0,573700,,76200,7602990668499160341,112.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7602990293373242645,Lịch sử Đảng Cộng sản Việt Nam | TikTok,Lịch sử Đảng cộng sản Việt Nam #bankerthichcode #Capcut #chinhtri ,1770209129.0,2026-02-04,20.0,5.0,732.0,573700,,29800,7602990293373242645,98.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7602277827559312660,Tại sao tôi không thích Donald Trump và Đảng Cộng Hòa | TikTok,#bankerthichcode #Capcut #chinhtri #kinhte,1770043245.0,2026-02-02,376.0,446.0,21500.0,573700,,498000,7602277827559312660,166.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7602238061275303189,Kinh nghiệm tranh luận với kẻ tiểu nhân | TikTok,#bankerthichcode #capcut #xahoi ,1770033986.0,2026-02-02,1310.0,722.0,31100.0,573700,,551800,7602238061275303189,99.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7601877198664027412,Nga và Ukraine: Tình hình chính trị và kinh tế | TikTok,#bankerthichcode #chinhtri #kinhte #quansu #CapCut ,1769949967.0,2026-02-01,296.0,472.0,22500.0,573700,,662500,7601877198664027412,128.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7601875518333422869,Chúc Tết và Ứng Dụng Cây Gia Phả MyFamilyTree | TikTok,"Chúc tết họ hàng, ứng dụng cây gia phả MyFamilyTree #bankerthichcode #myfamilytree #myfpCut #CapCut ",1769949575.0,2026-02-01,46.0,14.0,721.0,573700,,33800,7601875518333422869,114.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7601162749213084948,Chính trị và Kinh tế Trung Quốc: Câu Chuyện Nội Bộ | TikTok,Chính trị Trung Quốc #bankerthichcode #capcut #chinhtri #kinhte ,1769783619.0,2026-01-30,1425.0,859.0,52700.0,573700,,1400000,7601162749213084948,162.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7600754896492776725,Ai Trả Lương Cho Bạn? Câu Chuyện Đằng Sau Ngành Ngân Hàng | TikTok,Ai trả lương cho bạn #bankerthichcode #sach #book #giverbooks#boopCut ,1769688661.0,2026-01-29,13.0,22.0,889.0,573700,,55700,7600754896492776725,86.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7600398257256172820,"Vàng đã vượt 5300 đô la Mỹ trên một lượng, cơn sốt vàng #bankerthichco... | TikTok","Vàng đã vượt 5300 đô la Mỹ trên một lượng, cơn sốt vàng #bankerthichcode #chinhtir #kinhte #vang  #CapCut ",1769605626.0,2026-01-28,4221.0,703.0,32000.0,573700,,998400,7600398257256172820,212.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7600027693874236692,Dự Đoán Giá Vàng 5000 USD: Còn Tăng Không? | TikTok,Dự đoán Vàng khi vàng đã tăng mạnh mốc 5000 đô la Mỹ #CapCut #bankerthichcode #chinhtri #kinhte #gold ,1769519345.0,2026-01-27,3752.0,666.0,38000.0,573700,,1500000,7600027693874236692,141.0
bankerthichcode,https://www.tiktok.com/@bankerthichcode/video/7599918425024122132,Trump và khả năng tấn công Iran: Những điều cần biết | TikTok,Trump sẽ tấn công Iran hay không #bankerthichcode #chinhtri #kinhte  #CapCut ,1769493911.0,2026-01-27,167.0,274.0,10300.0,573700,,363600,7599918425024122132,147.0
