video_url,video_type,topic,emotion,hook_type,format,exceed_at,engagement_rate,duration,shares,comments,likes,views_per_sub
https://www.tiktok.com/@stevent107/video/7613768642282507540,news reaction,Cập nhật tình hình chính trị về Iran,surprise,shocking fact,talking head,engagement_rate,2034.006734,127,55,265,5721,0.340987
https://www.tiktok.com/@stevent107/video/7613760408851107092,news reaction,Mỹ đánh gục toàn bộ hải quân Iran,surprise,shocking fact,talking head,engagement_rate,15.301472,121,18,46,1111,8.816303
https://www.tiktok.com/@luuluongchiasenews/video/7600256833202261278,news reaction,"Massage ngực của vợ, bạn gái giúp các bạn sống lâu",surprise,shocking fact,talking head,engagement_rate,12.958863,65,25100,90,5367,56.451999
https://www.tiktok.com/@bankerthichcode/video/7546599625872919815,story,80 năm Cách mạng tháng tám,patriotism,contradiction,talking head,engagement_rate,9.67657,213,290,209,10900,20.53338
https://www.tiktok.com/@bankerthichcode/video/7526177646514834706,story,Chiến tranh Việt Nam hay Kháng chiến chống Mỹ,patriotism,contradiction,talking head,engagement_rate,8.630108,165,2226,1377,41800,91.702981
https://www.tiktok.com/@bankerthichcode/video/7545390989939100935,news reaction,Trải nghiệm tại triển lãm 80 năm thành tựu đất nước. Kỷ niệm 80 năm cách mạng tháng 8,patriotism,shocking fact,talking head,engagement_rate,8.351754,156,3575,468,41900,95.886352
https://www.tiktok.com/@bankerthichcode/video/7556641239001533704,explanation,Khám phá di cốt người tiền sử 13000 năm tại Tràng An,patriotism,shocking fact,talking head,engagement_rate,8.238758,156,327,174,7194,16.280286
https://www.tiktok.com/@bankerthichcode/video/7594471808716311828,list,Phòng chống xuyên tạc tại Đại hội Đảng,patriotism,statement,talking head,engagement_rate,8.080014,29,995,745,43500,97.594562
https://www.tiktok.com/@bankerthichcode/video/7580555082136161554,explanation,About a book: Nỗi buồn chiến tranh và diễn biến hòa bình trong giáo dục,curiosity,shocking fact,talking head,engagement_rate,7.934508,341,18800,2001,44500,143.454767
https://www.tiktok.com/@luuluongchiasenews/video/7602088129826131255,news reaction,2 nữ tỷ phú Hàn Quốc kết hôn thành cặp đôi triệu đô,surprise,shocking fact,talking head,engagement_rate,7.722009,62,15400,217,40800,174.910223
https://www.tiktok.com/@bankerthichcode/video/7534769704242613511,story,"Chào mừng A80, tìm hiểu chút lịch sử Việt Nam",patriotism,statement,talking head,engagement_rate,7.604075,216,860,273,17900,43.629074
https://www.tiktok.com/@bankerthichcode/video/7591021947841039623,myth-busting,Sách giáo khoa lịch sử bộ kết nối tri thức không có Triều Tây Sơn,outrage,shocking fact,talking head,engagement_rate,7.394334,175,5480,2063,64500,169.827436
https://www.tiktok.com/@bankerthichcode/video/7555509772259200274,news reaction,Israel đang gây ra tội ác tại Palestine và dải Gaza. Liên hợp quốc làm gì?,outrage,statement,talking head,engagement_rate,7.278751,136,1102,537,34500,86.54349
https://www.tiktok.com/@bankerthichcode/video/7598919931249331477,news reaction,Spiderum có dấu hiệu xuyên tạc lịch sử trước kỳ đại hội đảng khóa XIV,outrage,shocking fact,talking head,engagement_rate,7.048212,260,3789,940,47900,130.155133
https://www.tiktok.com/@luuluongchiasenews/video/7607868804269362445,news reaction,"Hữu Giang xúc phạm nguyên thủ quốc gia. Mình phản biện lại tư tưởng trọng nam khinh nữ, và giải thích vì sao lãnh đạo đa số là đàn ông chứ không phải phụ nữ. Cụu phó chủ tịch nước Bà Nguyễn Thị Bình, Cựu chủ tịch quốc hội Nguyễn Thị Kim Ngân, phó chủ tịch nước Võ Thị Ánh Xuân Thống đốc ngân hàng Nguyễn Thị Hồng,… những người này có phải là tư duy kém không?",outrage,question,talking head,engagement_rate,6.966245,173,47900,9811,311500,923.827785
